Hanzi 汉字,Pinyin 拼音,Meaning
根源,gēnyuán,origin; root; source
跟前,gēnqián,in front of
跟随,gēnsuí,follow; followed
跟踪,gēnzōng,follow somebody's tracks; tail; shadow
更新,gēngxīn,to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate; to rejuvenate
更正,gēngzhèng,correct; correction
耕地,gēngdì,arable land; to plow land
工艺品,gōngyìpǐn,handicraft; handiwork
公安局,gōngānjú,public security bureau
公道,gōngdao,fair; equitable
公告,gōnggào,post; announcement
公关,gōngguān,public relations
公民,gōngmín,citizen
公然,gōngrán,(do something) openly; undisguised
公认,gōngrèn,publicly know (to be); recognize; generally acknowledged
公式,gōngshì,formula
公务,gōngwù,public affairs; official business
公正,gōngzhèng,just; fair
公证,gōngzhèng,notarization
功劳,gōngláo,contribution; meritorious; credit
功效,gōngxiào,efficiency; effectiveness
攻击,gōngjī,to attack; accuse; to charge
攻克,gōngkè,to capture; to take
供不应求,gōng bú yìng qiú,(saying) demand outstrips supply
供给,gōngjǐ,to furnish; provide; to supply
宫殿,gōngdiàn,palace
恭敬,gōngjìng,dutiful; deferential
巩固,gǒnggù,consolidate; solidify
共和国,gònghéguó,republic
共计,gòngjì,sum up; total
共鸣,gòngmíng,physical resonance; sympathetic response to something
勾结,gōujié,collude with; collaborate; gang up
钩子,gōuzi,hook
构思,gòusī,outline a story; make preliminary sketch
孤独,gūdú,lonely; solitary
孤立,gūlì,isolate; isolated
姑且,gūqiě,temporarily; the time being
辜负,gūfù,let down; disappoint; fail to live up to
古董,gǔdǒng,antique
古怪,gǔguài,eccentric; grotesque; oddly
股东,gǔdōng,stockholder; shareholder
股份,gǔfèn,a share (in a company) stock
骨干,gǔgàn,backbone; mainstay
鼓动,gǔdòng,agitate; instigate
固然,gùrán,admittedly; it is true that; indeed
固体,gùtǐ,solid
固有,gùyǒu,intrinsic/inherent to something; native
固执,gùzhí,persistent; stubborn
故乡,gùxiāng,hometown; homeland; birthplace
故障,gùzhàng,malfunction; breakdown
顾虑,gùlǜ,misgivings; apprehensions
顾问,gùwèn,adviser; consultant
雇佣,gùyōng,employ; hire
拐杖,guǎizhàng,crutch; walking stick
关怀,guānhuái,care; solicitude; show care for; concerned about; attentive to
关照,guānzhào,concern; look after; keep an eye on
观光,guānguāng,sight see; tour
官方,guānfāng,official; (by the) government
管辖,guǎnxiá,administer; have jurisdiction (over)
贯彻,guànchè,to implement; put into practice; carry out
惯例,guànlì,conventional
灌溉,guàngài,irrigate
罐,guàn,can; jar; pot; pitcher; jug
光彩,guāngcǎi,splendor; radiance; brilliance; honor
光辉,guānghuī,radiance; brilliant; glory
光芒,guāngmáng,rays of light; brilliant rays; radiance
光荣,guāngróng,glory; honor
广阔,guǎngkuò,wide; vast
归根到底,guī gēn dào dǐ,(saying) to sum it up ...
归还,guīhuán,return something; revert
规范,guīfàn,standard (design or model); norm; without variation; to specify
规格,guīgé,standard; norm; specification
规划,guīhuà,plan; program; project
规章,guīzhāng,regulations; rule
轨道,guǐdào,orbit; railway; trajectory
贵族,guìzú,lord; nobility; nobleman; noblewoman
跪,guì,kneel
棍棒,gùnbàng,club
国防,guófáng,national defense
国务院,guówùyuàn,State Council (PRC); State Department (USA)
果断,guǒduàn,firm; decisive
过度,guòdù,excessive; exceeding; lavishly
过渡,guòdù,to cross a river by ferry; transition; interim
过奖,guòjiǎng,praise excessively; flatter
过滤,guòlǜ,to filter; filter
过失,guòshī,defect; fault
过问,guòwèn,take an interest in; get involved with
过瘾,guòyǐn,satisfy a craving; get a kick out of sth; do to one's heart's content
过于,guòyú,too much; excessively
嗨,hāi,hey/hi (loanword); oh; alas;
海拔,hǎibá,height above sea level; elevation
海滨,hǎibīn,shore; seaside
含糊,hánhu,unclear; vague; unsure
含义,hányì,implied meaning; connotation
寒暄,hánxuān,exchanging conventional greetings; winter and summer
罕见,hǎnjiàn,rare; rarely seen; peculiar
捍卫,hànwèi,defend; uphold; safeguard
行列,hángliè,procession; ranks; queue
航空,hángkōng,aviation
航天,hángtiān,space flight
航行,hángxíng,to sail; to fly
毫米,háomǐ,millimeter
毫无,háo wú,not at all; completely without; not in the least
豪迈,háomài,bold and generous; heroic
号召,hàozhào,call upon; summon; to appeal
耗费,hàofèi,waste; spend; consume
呵,hē,breathe out; scold
合并,hébìng,merge; annex
合成,héchéng,compound; synthesis; mixture
合伙,héhuǒ,to make a partnership
合算,hésuàn,worthwhile; reckon up
和蔼,hé'ǎi,kindly; good-tempered; amiable
和解,héjiě,settlement; to become reconciled
和睦,hémù,peaceful relations; harmonious
和气,héqi,friendly; polite; amiable
和谐,héxié,harmonious; concordant
嘿,hēi,hey; interjection for calling attention
痕迹,hénjì,vestige; trace
狠心,hěn xīn,callous; cruel; cold-blooded
恨不得,hèn bu de,cannot bear not; be dying to
横,héng,horizontal; across; (horizontal character stroke)
哼,hēng,groan; snort; to hum; croon
轰动,hōngdòng,a sensation; a stir
烘,hōng,to dry or warm by the fire; to bake; to heat by fire; to set off by contrast
宏观,hóngguān,macro-; macroscopic
宏伟,hóngwěi,grand; imposing; magnificent; grand
洪水,hóngshuǐ,flood
哄,hǒng,fool; coax; to amuse (a child)
喉咙,hóulóng,throat; larynx
吼,hǒu,roar; howl
后代,hòudài,posterity; later generations; descendants
后顾之忧,hòugùzhīyōu,fears of trouble in the rear (idiom); family worries (obstructing freedom to act); trouble back at home; worries about the future consequences; often in negative expressions; meaning no worries about anything
后勤,hòuqín,logistics
候选,hòuxuǎn,candidate
呼唤,hūhuàn,call out (a name etc.); shout
呼啸,hūxiào,whistle; scream; howl
呼吁,hūyù,call on (someone to do something); appeal
忽略,hūlüè,ignore; forget about; neglect
胡乱,húluàn,carelessly; recklessly
胡须,húxū,beard; moustache; whiskers
湖泊,húpō,lake
花瓣,huābàn,petal
花蕾,huālěi,(flower) bud
华丽,huálì,gorgeous; magnificent
华侨,huáqiáo,overseas Chinese
化肥,huàféi,chemical fertilizer
化石,huàshí,fossil
化验,huàyàn,laboratory test; chemically examine
化妆,huà zhuāng,put on make-up
划分,huàfēn,divide up; differentiate
画蛇添足,huàshétiānzú,draw legs on a snake (idiom); to ruin something by adding something superfluous
话筒,huàtǒng,microphone; transmitter; megaphone
欢乐,huānlè,gaiety; glee; delighted
还原,huányuán,restore to the original state; (Chemistry) reduce
环节,huánjié,link; sector; segment (of annelid worms)
缓和,huǎnhé,alleviate; to moderate; to ease (tension)
患者,huànzhě,sufferer; patient; the sick
荒凉,huāngliáng,desolate
荒谬,huāngmiù,ridiculous; nonsensical
荒唐,huāngtang,beyond belief; preposterous; absurd; intemperate
皇帝,huángdì,emperor
皇后,huánghòu,an empress
黄昏,huánghūn,dusk; evening; nightfall
恍然大悟,huǎngrándàwù,suddenly see the light; suddenly realize what has happened; twig
晃,huàng,to sway; to shake
挥霍,huīhuò,squander money without restraint; squander
辉煌,huīhuáng,splendid; glorious
回报,huíbào,repayment; payback
回避,huíbì,avoid; shun; evade
回顾,huígù,look back; to review
回收,huíshōu,recycle; recover and put back to use
悔恨,huǐhèn,remorse; repentance
毁灭,huǐmiè,perish; ruin; destroy
汇报,huìbào,report; give an account of; to collect information and report back
会晤,huìwù,meet; meeting; conference
贿赂,huìlù,to bribe
昏迷,hūnmí,lose consciousness; be in a coma
荤,hūn,meat or fish dish; pungent vegetables forbidden to Buddhist vegetarians
浑身,húnshēn,entire body; from head to foot
混合,hùnhé,to mix; to blend
混乱,hùnluàn,confusion; chaotic
混淆,hùnxiáo,obscure; confuse; mix up; blur; mislead; confusing
混浊,hùnzhuó,muddy; dirty; turbid
活该,huógāi,serve sb. right; deservedly; ought
活力,huólì,energy; vitality; vigor
火箭,huǒjiàn,rocket
火焰,huǒyàn,blaze; flame
火药,huǒyào,gunpowder
货币,huòbì,currency; money
讥笑,jīxiào,sneer at; deride
饥饿,jī'è,hunger; hungry; starve
机动,jīdòng,motorized; mobile; flexible
机构,jīgòu,structure; organization; institution
机灵,jīling,clever; quick-witted; smartness
机密,jīmì,secret; classified (information)
机械,jīxiè,machine; mechanical
机遇,jīyù,opportunity; stroke of good luck; favorable circumstance
机智,jīzhì,tact; quick-witted; resourceful
基地,jīdì,base (of operations)
基金,jījīn,fund; endowment
基因,jīyīn,gene
激发,jīfā,to arouse; excite
激励,jīlì,urge; encourage; motivation
激情,jīqíng,passion; strong emotion; fervor; enthusiasm
及早,jízǎo,as soon as possible; at the earliest possible time
吉祥,jíxiáng,lucky
级别,jíbié,rank; level; grade
极端,jíduān,extreme
极限,jíxiàn,limit; extreme boundary
即便,jíbiàn,even if; even though
即将,jíjiāng,will shortly; soon; be on the verge of
急功近利,jígōngjìnlì,eager for success and profit
急剧,jíjù,rapid; sudden
急切,jíqiè,eager; impatient; imperative
急于求成,jíyúqiúchéng,impatient for success
急躁,jízào,irritable; impetuous; impatient
疾病,jíbìng,disease; illness; sickness; ailment
集团,jítuán,group; bloc; circle; clique
嫉妒,jídù,to be jealous; to envy; covet; to hate; to begrudge
籍贯,jíguàn,place of one's ancestry
给予,jǐyǔ,to give
计较,jìjiào,focus excessively on; haggle; bicker; argue
记性,jìxing,memory
记载,jìzǎi,write down; to record
纪要,jìyào,written summary of a meeting; minutes
技巧,jìqiǎo,skill; technique
忌讳,jìhuì,avoid as a taboo; abstain from; taboo
季度,jìdù,(financial) quarter; period of three months
季军,jìjūn,third in a race; bronze medalist
迹象,jìxiàng,mark; indication; sign
继承,jìchéng,inherit; carry on; succeed
寄托,jìtuō,entrust somebody someone's care; consign; commit
寂静,jìjìng,quiet
加工,jiā gōng,to process; processing; machining
加剧,jiājù,aggravate; intensify; sharpen; accelerate
夹杂,jiāzá,mix together; have two dissimilar substances mixed together
佳肴,jiāyáo,delicacy
家常,jiācháng,the daily life of a family; home-style (food)
家伙,jiāhuo,guy; chap; tool; weapon
家属,jiāshǔ,family member; a dependent
家喻户晓,jiā yù hù xiǎo,become a household name; well-known
尖端,jiānduān,highest peak; the tip; sharp pointed end; most advanced and sophisticated
尖锐,jiānruì,sharp; intense; penetrating
坚定,jiāndìng,firm; staunch; resolute
坚固,jiāngù,firm; strong; sturdy
坚韧,jiānrèn,tough and durable; hard-bitten; firm and tenacious
坚实,jiānshí,firm and substantial; solid
坚硬,jiānyìng,hard; solid
艰难,jiānnán,difficult; arduous
监督,jiāndū,control; monitor; supervise; inspect
监视,jiānshì,oversee; to monitor
监狱,jiānyù,prison; jail
煎,jiān,pan-fry; fry in shallow oil
拣,jiǎn,choose; select; sort out
检讨,jiǎntǎo,self-criticism; analyze
检验,jiǎnyàn,inspect; examine; to test
剪彩,jiǎn cǎi,cut the ribbon at an opening ceremony
简化,jiǎnhuà,simplify; simplification
简陋,jiǎnlòu,simple and crude (i.e. room or building)
简体字,jiǎntǐzì,simplified Chinese characters
简要,jiǎnyào,concise; brief
见多识广,jiànduōshíguǎng,experienced and knowledgeable
见解,jiànjiě,view; opinion; understanding
见闻,jiànwén,information
见义勇为,jiànyìyǒngwéi,to see what is right and act courageously (idiom; from Analects); to stand up bravely for the truth; acting heroically in a just cause
间谍,jiàndié,a spy; intelligence agent
间隔,jiàngé,interval; intermission; gap; be separated
间接,jiànjiē,indirect
剑,jiàn,sword
健全,jiànquán,Perfect; sound; to perfect/strengthen/amplify
舰艇,jiàntǐng,warship; naval vessel
践踏,jiàntà,trample
溅,jiàn,to splash
鉴别,jiànbié,differentiate; distinguish
鉴定,jiàndìng,appraise; identify; evaluate
鉴于,jiànyú,in light of; in view of; seeing that
将近,jiāngjìn,almost; nearly; close to
将就,jiāngjiu,put up with; accept somewhat reluctantly
将军,jiāngjūn,a general (military officer)
僵硬,jiāngyìng,stiff
奖励,jiǎnglì,to reward (as encouragement)
奖赏,jiǎngshǎng,to reward
桨,jiǎng,oar; paddle
降临,jiànglín,befall; descend
交叉,jiāochā,cross; intersect
交代,jiāodài,explain; account for; hand over
交涉,jiāoshè,negotiate; discuss a matter with the opposing side
交易,jiāoyì,business transaction; deal; trade
娇气,jiāoqì,delicate; effeminate; squeamish
焦点,jiāodiǎn,focus; focal point
焦急,jiāojí,anxiety; worried
角落,jiǎoluò,corner; nook
侥幸,jiǎoxìng,by luck; by a fluke
搅拌,jiǎobàn,stir; mix up
缴纳,jiǎonà,to pay (taxes)
较量,jiàoliàng,competition; to have a contest with sb.
教养,jiàoyǎng,upbringing; education; bring up; nurture and train
阶层,jiēcéng,hierarchy
皆,jiē,all; each and every; in all cases
接连,jiēlián,one after another; in a row; in succession
揭露,jiēlù,expose; unmask
节制,jiézhì,to be restrained or moderate
节奏,jiézòu,rhythm; cadence; tempo
杰出,jiéchū,outstanding; preeminent
结晶,jiéjīng,a crystal; to crystallize
结局,jiéjú,conclusion; ending
结算,jiésuàn,settle up the bill; close an account
截止,jiézhǐ,end; close; stop; expiration
截至,jiézhì,up until; by (a specified time
竭尽全力,jiéjìn quánlì,to spare no efforts; do one's utmost
解除,jiěchú,remove; relieve (someone of their duties); sack; get rid of
解放,jiěfàng,liberate
解雇,jiěgù,fire; lay off; dismiss from
解剖,jiěpōu,dissect; analyze; anatomy
解散,jiěsàn,dismiss; dissolve; disband
解体,jiětǐ,disintegrate
戒备,jièbèi,take precautions; be on the alert
界限,jièxiàn,boundary; marginal; limit
借鉴,jièjiàn,take example by; use other people's experience
借助,jièzhù,get help from
金融,jīnróng,banking finance; financial
津津有味,jīnjīn yǒu wèi,(saying) with gusto; eagerly; with great interest
紧迫,jǐnpò,urgent; urgency
锦上添花,jǐnshàngtiānhuā,lit. on brocade; add flowers (idiom); to decorate sth already perfect / gilding the lily
进而,jìn'ér,and then (what follows next)
进攻,jìngōng,attack (military); assault
进化,jìnhuà,evolution
进展,jìnzhǎn,make progress; development; make headway
近来,jìnlái,recently; lately
晋升,jìnshēng,promote to a higher position
浸泡,jìnpào,to soak
茎,jīng,stalk; stem
经费,jīngfèi,funds; expenses
经纬,jīngwěi,warp and woof; longitude and latitude; main points
惊动,jīngdòng,alarm; alert; startle; disturb
惊奇,jīngqí,amaze; astonished
惊讶,jīngyà,surprised; astonished; astound
兢兢业业,jīngjīng yèyè,cautious and conscientious
精打细算,jīng dǎ xì suàn,(saying) meticulous planning and careful accounting
精华,jīnghuá,elite; best feature; most important part of an object; essence; quintessence
精简,jīngjiǎn,simplify; reduce
精密,jīngmì,accuracy; exact; precise; refined
精确,jīngquè,accurate; precise
精通,jīngtōng,proficient; have a good command of
精心,jīngxīn,with utmost care; meticulous; detailed
精益求精,jīng yì qiú jīng,(saying) improving and wanting to improve even more
精致,jīngzhì,exquisite; delicate; refined
井,jǐng,a well
颈椎,jǐngzhuī,cervical vertebra; the seven cervical vertebrae in the neck of humans and most mammals
警告,jǐnggào,to warn; admonish
警惕,jǐngtì,vigilant; alert; be on guard
竞赛,jìngsài,race; contest; competition
竞选,jìngxuǎn,run for (electoral) office; take part in an election
敬礼,jìnglǐ,to salute; best regards
敬业,jìngyè,work ethic
境界,jìngjiè,boundary; state; realm; level
镜头,jìngtóu,camera shot (in a movie; etc.); scene; camera lens
纠纷,jiūfēn,dispute; quarrel
纠正,jiūzhèng,to correct; to make right
酒精,jiǔjīng,alcohol; ethanol
救济,jiùjì,emergency relief; aid; help out in a disaster
就近,jiùjìn,nearby; in a close neighborhood
就业,jiùyè,employment; getting a job
就职,jiù zhí,take office; assume a post
拘留,jūliú,detain (a prison); keep (someone) in custody
拘束,jūshù,restrict; constrained; ill at ease; reticent
居民,jūmín,resident; inhabitant
居住,jūzhù,reside; dwell; to live (in a place)
鞠躬,jūgōng,to bow
局部,júbù,part; local
局面,júmiàn,aspect; situation
局势,júshì,situation; state (of affairs)
局限,júxiàn,to limit; confine; restrict or confine sth.
咀嚼,jǔjué,to chew
沮丧,jǔsàng,dejected; depressed; dispirited
举动,jǔdòng,action; act; (make) a move; movement
举世瞩目,jǔshì zhǔmù,attract worldwide attention
举足轻重,jǔzúqīngzhòng,a foot's move sways the balance; hold the balance of power; play a key role
剧本,jùběn,script for a play; opera; movie; etc
剧烈,jùliè,acute; violent; severe
据悉,jùxī,according to reports; it is reported (that)
聚精会神,jù jīng huì shén,concentrate one's attention
卷,juǎn,to roll (up); to coil; (mw for tapes)
决策,juécè,Make policy; make strategic decision
觉悟,juéwù,consciousness; awareness; (Buddhist) enlightenment
觉醒,juéxǐng,awaken; arousal; realize
绝望,jué wàng,desperation; forlorn; hopeless
倔强,juéjiàng,stubborn; unbending
军队,jūnduì,army troops
君子,jūnzǐ,gentleman; man of noble character
卡通,kǎtōng,cartoon
开采,kāicǎi,extract ore or some other natural resource from a mine
开除,kāichú,expel; to discharge; to kick out
开阔,kāikuò,wide; open (spaces)
开朗,kāilǎng,outgoing and cheerful; optimistic; carefree; spacious and well-lit
开明,kāimíng,enlightened; open-minded
开辟,kāipì,open up; to start; to build
开拓,kāituò,break new ground (for agriculture); development
开展,kāizhǎn,begin to develop; to launch
开支,kāizhī,expenditures; pay; expenses
刊登,kāndēng,publish in a newspaper; carry a story
刊物,kānwù,publication; periodical; journal
勘探,kāntàn,exploration
侃侃而谈,kǎnkǎn'értán,speak frankly and in measured tones; argue about leisurely and boldly
砍伐,kǎnfá,cut down; lop; hew (as a tree)
看待,kàndài,look upon; regard
慷慨,kāngkǎi,vehement; fervent; generous
扛,káng,to carry on one's shoulder
抗议,kàngyì,to protest; protest
考察,kǎochá,inspect; investigate; analyze
考古,kǎogǔ,archaeology
考核,kǎohé,examine; check up on
考验,kǎoyàn,put to the test; trial
靠拢,kàolǒng,draw close; close up; move up
科目,kēmù,(school) subject
磕,kē,knock; tap
可观,kěguān,considerable; impressive
可口,kěkǒu,tasty; taste good
可恶,kěwù,hateful; abominable; repulsive
可行,kěxíng,feasible
渴望,kěwàng,wishful; to yearn for; desire
克制,kèzhì,restrain; take a firm hold on
刻不容缓,kèbùrónghuǎn,demand immediate action; brook no delay
客户,kèhù,customer; account; client
课题,kètí,task; problem; issue; question for discussion
恳切,kěnqiè,earnest; genuine; fair-spoken
啃,kěn,gnaw; nibble; bite
坑,kēng,pit; hole; defraud
空洞,kōngdòng,empty; hollow; vacuous; devoid of content
空前绝后,kōngqiánjuéhòu,unprecedented and unrepeatable; never to be reduplicated; the first and the last; unmatched; unique
空想,kōngxiǎng,daydream; fantasy
空虚,kōngxū,hollow; emptiness; meaningless
孔,kǒng,hole
恐怖,kǒngbù,afraid; terror
恐吓,kǒnghè,to threaten
恐惧,kǒngjù,fear; dread; phobia
空白,kòngbái,blank space; blank
空隙,kòngxì,crack; gap between two objects
口气,kǒuqì,tone of voice; manner of speaking
口腔,kǒuqiāng,space inside mouth (oral cavity)
口头,kǒutóu,oral; verbal
口音,kǒuyīn,accent
扣,kòu,to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; put upside down; to smash or spike (a ball); to cover (with a bowl etc); fig. to tag a label on sb
枯萎,kūwěi,wither; withered
枯燥,kūzào,dry and dull; uninteresting
哭泣,kūqì,weep; cry; sob
苦尽甘来,kǔjìngānlái,sweetness comes after bitterness; the hard times are over and the good times are just beginning
苦涩,kǔsè,bitter and astringent; pained; agonized; anguished
挎,kuà,carry over one's shoulder or slung on one's side
跨,kuà,step across; stride; straddle; to cross
快活,kuàihuo,happy; cheerful
宽敞,kuānchang,spacious; commodious
宽容,kuānróng,tolerant; lenient
款待,kuǎndài,to entertain (guests)
款式,kuǎnshì,pattern; design; style
筐,kuāng,basket
旷课,kuàng kè,cut school; be truant from school
况且,kuàngqiě,moreover; besides; in addition
矿产,kuàngchǎn,minerals
框架,kuàngjià,frame; framework; skeleton
亏待,kuīdài,treat sb. unfairly
亏损,kuīsǔn,deficit; (financial) loss
捆绑,kǔnbǎng,tie up; bundled
扩充,kuòchōng,expand; extend
扩散,kuòsàn,spread; proliferation
扩张,kuòzhāng,expansion; extension
喇叭,lǎba,horn; trumpet; loudspeaker
蜡烛,làzhú,candle
啦,la,sentence-final particle: a contraction of 了 (le) and 啊 (a)
来历,láilì,history; antecedents; origin
来源,láiyuán,source; originate
栏目,lánmù,column (in a newspaper;TV;etc)
懒惰,lǎnduò,lazy; idle
狼狈,lángbèi,in a difficult position or situation; in a tight corner; scoundrel! (derogatory)
狼吞虎咽,lángtūnhǔyàn,wolf down one's food (idiom); gorge oneself
捞,lāo,dredge up; fish up
牢固,láogù,firm; secure; solid
牢骚,láosāo,grumble; complaint
唠叨,láodao,be talkative (especially about trivial matters); be garrulous; prattle
乐趣,lèqù,delight; pleasure; joy; fun
乐意,lèyì,be happy/willing do something; content; satisfied
雷达,léidá,radar
类似,lèisì,similar; analogous
冷酷,lěngkù,grim; unfeeling; callous
冷落,lěngluò,to treat somebody coldy; to snub; desolate; to give the cold shoulder
冷却,lěngquè,cooling; cool off
愣,lèng,dumbfounded; stupefied; distracted; (spoken) blunt; rash
黎明,límíng,dawn; daybreak
礼节,lǐjié,etiquette; proprieties; festival
礼尚往来,lǐshàngwǎnglái,courtesy requires reciprocity
里程碑,lǐchéngbēi,milestone
理睬,lǐcǎi,heed; pay attention to (usually used in the negative)
理所当然,lǐ suǒ dāng rán,(idiom) it goes without saying; certainly; of course; be natural and right
理直气壮,lǐzhíqìzhuàng,with justice on one's side; one is bold and assured; to have the courage of ones convictions; just and forceful
理智,lǐzhì,reason; intellect; rational
力求,lìqiú,make every effort; do one's best
力所能及,lìsuǒnéngjí,within one's power; to the best of one's ability
力争,lìzhēng,work hard; do all one can to; strive for/argue strongly
历代,lìdài,successive dynasties; past dynasties
历来,lìlái,always; throughout (a period of time)
立场,lìchǎng,position; standpoint
立方,lìfāng,cube; (mw cubic units of measure)
立交桥,lìjiāoqiáo,overpass; one road goes on top of another; cloverleaf intersection
立体,lìtǐ,solid; three dimensional
立足,lìzú,base oneself on; be established; have a footing
利害,lìhai,serious; formidable; devastating; (-hài: advantages and disadvantages)
例外,lìwài,(make an) exception
粒,lì,a grain; granule; (mw for grain-like things)
连年,liánnián,successive years; over many years; once again this year
连锁,liánsuǒ,chain (store etc); to interlock
连同,liántóng,together with; along with
联欢,liánhuān,have a get-together
联络,liánluò,communication; to contact
联盟,liánméng,alliance; union; coalition
联想,liánxiǎng,to associate (cognitively); to make an associative connection; mental association; word prediction and auto-complete functions of input method editing programs; abbr. for 联想集团 Lenovo Group (PRC computer firm)
廉洁,liánjié,honest; incorruptible
良心,liángxīn,conscience
谅解,liàngjiě,understanding; make an allowance for; forgive
晾,liàng,dry in the air/sun; (colloquial) snub or ignore
辽阔,liáokuò,vast; extensive
列举,lièjǔ,make a list; enumerate
临床,línchuáng,clinical
淋,lín,to drain; to drip; drench
吝啬,lìnsè,stingy; mean; miserly
伶俐,línglì,clever; witty; intelligent
灵感,línggǎn,inspiration; insight; a burst of creativity in scientific or artistic endeavor
灵魂,línghún,soul; spirit; conscience
灵敏,língmǐn,sensitive
凌晨,língchén,early in the morning
零星,língxīng,partial; scattered; fragmentary
领会,lǐnghuì,understand; comprehend; grasp
领事馆,lǐngshìguǎn,consulate
领土,lǐngtǔ,territory
领悟,lǐngwù,comprehend; grasp; fathom
领先,lǐngxiān,leadership; to lead; be in front
领袖,lǐngxiù,leader
溜,liū,slip away; to skate; to glide
留恋,liúliàn,be reluctant to leave
留念,liúniàn,to keep as a souvenir
留神,liú shén,(idiom) take care to ...; be careful of ...
流浪,liúlàng,drift about; wander
流露,liúlù,express; reveal (one's thoughts or feelings)
流氓,liúmáng,rogue; hooligan; gangster
流通,liútōng,circulate; currency
聋哑,lóngyǎ,deaf and dumb; deaf-mute
隆重,lóngzhòng,grand; prosperous; ceremonious
垄断,lǒngduàn,monopoly
笼罩,lǒngzhào,envelop; to shroud; be masked by
搂,lǒu,to hug; to embrace
炉灶,lúzào,kitchen range; cooking range; stovetop range
屡次,lǚcì,repeatedly; time and again; frequently
履行,lǚxíng,fulfill (one's obligations); carry out
掠夺,lüèduó,to plunder; rob; pillage
轮船,lúnchuán,steamship
轮廓,lúnkuò,outline; silhouette
轮胎,lúntāi,tire (of a wheel)
论坛,lùntán,forum
论证,lùnzhèng,prove a point; expound on; argumentation
啰唆,luōsuo,long-winded; wordy; troublesome; pesky
络绎不绝,luòyìbùjué,endless stream
落成,luòchéng,complete a construction project
落实,luòshí,workable; implement
麻痹,mábì,paralysis; palsy; numbness
麻木,mámù,numb
麻醉,mázuì,anesthesia
码头,mǎtou,dock; wharf
蚂蚁,mǎyǐ,ant
嘛,ma; má,(used to persuade somebody to do something); (particle indicating obviousness) | (colloqial) what?
埋伏,máifu,ambush; lie in ambush
埋没,máimò,oblivion; bury; neglect
埋葬,máizàng,bury
迈,mài,to step; stride
脉搏,màibó,pulse; throbbing
埋怨,mányuàn,complain; blame; connotes sb or sth is to blame
蔓延,mànyán,extend; spread; to creep
漫长,màncháng,very long; endless
漫画,mànhuà,comics; manga
慢性,mànxìng,slow and patient; chronic (disease)
忙碌,mánglù,be busy; bustling
盲目,mángmù,blindness; aimless
茫茫,mángmáng,boundless; vast and obscure
茫然,mángrán,unseeing; ignorant; have no knowledge of sth.
茂盛,màoshèng,exuberance; luxuriant
冒充,màochōng,pretend to be (somebody or something else); pass (somebody or something) off as; impersonate
冒犯,màofàn,to offend
枚,méi,(mw for coins; rings; medals)
媒介,méijiè,media; medium
美观,měiguān,pleasing to the eye; beautiful; artistic
美满,měimǎn,happy; blissful
美妙,měimiào,beautiful (when describing a work of art); wonderful; splendid
萌芽,méngyá,sprout; bud; germ of a plant
猛烈,měngliè,fierce; violent
眯,mī,to squint; to take a nap
弥补,míbǔ,make up for a deficiency; remedy; offset
弥漫,mímàn,fill the air; permeate; to suffuse
迷惑,míhuò,to puzzle; confuse; mystify
迷人,mírén,charming; enchanting; cute
迷信,míxìn,superstition; be superstitious
谜语,míyǔ,riddle; conundrum
密度,mìdù,density; thickness; consistency
密封,mìfēng,seal up; pressurize
棉花,miánhua,cotton
免得,miǎnde,so as not to; so as to avoid
免疫,miǎnyì,immune
勉励,miǎnlì,encourage
勉强,miǎnqiǎng,reluctantly; grudgingly; force sb. to do sth.
面貌,miànmào,appearance; looks; features
面子,miànzi,honor; reputation; prestige; face
描绘,miáohuì,describe; portray
瞄准,miáozhǔn,take aim (a weapon at a target)
渺小,miǎoxiǎo,tiny; minute; negligible
藐视,miǎoshì,treat with contempt
灭亡,mièwáng,be destroyed; perish; exterminate; become extinct
蔑视,mièshì,despise; loathe; disparage; scorn
民间,mínjiān,among the people; popular; folk
民主,mínzhǔ,democracy
敏捷,mǐnjié,nimble; agile; shrewd
敏锐,mǐnruì,keen; sharp; acute; brisk
名次,míngcì,position in a ranking of names
名额,míng'é,particular number of people; quota
名副其实,míng fù qí shí,not just in name only; but also in reality
名誉,míngyù,fame; reputation; honor; honorary
明明,míngmíng,obviously; plainly; undoubtedly
明智,míngzhì,wise
命名,mìngmíng,give a name; to dub; christen; naming
摸索,mōsuǒ,feel about; grope around; fumble
模范,mófàn,model; exemplar
模式,móshì,model; pattern; method
模型,móxíng,model; mould; matrix; pattern
膜,mó,membrane; film
摩擦,mócā,friction; clash (between two parties); conflict
磨合,móhé,adapt gradually to each other; to consult; break in; wear in
魔鬼,móguǐ,devil; demon; monster
魔术,móshù,magic
抹杀,mǒshā,write off; erase; remove from evidence
莫名其妙,mòmíngqímiào,odd; baffling; unaccountable
墨水儿,mòshuǐer,ink
默默,mòmò,in silence; not speaking
谋求,móuqiú,seek; strive for; try to get
模样,múyàng,appearance; form; approximation
母语,mǔyǔ,native/mother tongue
目睹,mùdǔ,witness; see first hand
目光,mùguāng,sight; vision; view
沐浴,mùyù,take a bath; revel; immerse
拿手,náshǒu,good at; adept
纳闷儿,nà mènr,feel puzzled; bewildered
耐用,nàiyòng,durable
南辕北辙,nányuánběizhé,at odds with; act in a way that defeats one's purpose
